,VOC,JSC,FF,PCE
3197,446.0,15.9,0.58,4.6
3198,532.1,8.15,0.72,3.14
3199,531.8,8.91,0.69,3.29
3200,545.1,8.95,0.69,3.39
3203,480.0,12.3,0.61,4.0
3204,492.0,14.5,0.56,4.4
3205,424.0,21.4,0.49,4.9
3208,600.0,5.09,0.69,2.09
3210,600.0,5.4,0.71,2.29
3211,630.0,8.12,0.69,3.53
3213,570.0,6.36,0.68,2.46
3214,590.0,7.13,0.66,2.76
3215,560.0,6.63,0.7,2.65
3216,600.0,7.68,0.67,3.08
3217,620.0,7.5,0.72,3.36
3221,230.0,2.47,0.55,0.32
3223,200.0,0.54,0.36,0.04
3227,500.0,10.1,0.53,2.63
3228,490.0,9.78,0.48,2.29
3230,400.0,6.98,0.56,1.54
3231,390.0,6.45,0.54,1.38
3240,547.0,6.11,0.66,2.21
3245,391.0,9.06,0.55,1.96
3246,530.0,8.42,0.65,2.94
3252,520.0,6.76,0.64,2.23
3336,450.0,1.26,0.75,0.42
3338,480.0,2.06,0.72,0.71
3377,520.0,1.17,0.82,0.65
3379,550.0,1.61,0.74,0.65
3389,520.0,0.78,0.74,0.3
3425,450.0,0.31,0.83,0.11
3558,668.0,11.389,0.7386,5.62
3671,329.0,7.11,0.54,1.26
3672,333.0,7.66,0.52,1.36
3712,510.0,1.84,0.67,0.63
3720,700.0,10.6,0.66,4.9
3846,710.0,5.15,0.68,2.01
3847,710.0,10.01,0.72,4.72
3849,670.0,9.68,0.71,4.47
3861,600.0,9.06,0.7377,6.25
3863,601.0,9.33,0.7358,6.38
3865,730.0,9.85,0.7217,6.66
3866,579.0,7.61,0.732,3.2
3867,584.0,8.9,0.74,3.8
3868,699.0,6.36,0.757,3.4
3869,720.0,6.8,0.67,3.2
3870,750.0,8.3,0.64,4.0
3871,690.0,6.4,0.59,2.7
3872,730.0,7.3,0.63,3.5
3873,520.0,4.48,0.61,1.44
3874,470.0,1.08,0.65,0.33
3875,560.0,3.11,0.72,1.26
3876,550.0,3.87,0.68,1.47
3952,640.0,9.87,0.69,4.41
3953,650.0,9.44,0.7,4.34
3954,650.0,10.05,0.68,4.54
3959,746.0,9.22,0.77,10.4
3961,729.0,9.01,0.78,10.1
3963,695.0,7.8,0.78,8.34
3964,542.0,7.14,0.52,2.03
3966,543.0,8.85,0.56,2.68
3968,657.0,3.87,0.71,1.82
3999,630.0,19.73,0.656,8.15
4001,587.0,15.21,0.713,6.36
4003,600.0,17.11,0.702,7.21
4005,608.0,12.74,0.717,5.55
4007,607.0,16.47,0.702,7.01
4009,740.0,13.4,0.66,6.5
4010,800.0,13.7,0.63,7.0
4011,760.0,12.8,0.65,6.3
4012,700.0,13.2,0.68,6.2
4075,442.0,14.95,0.669,4.8
4077,470.0,5.5,0.46,2.9
4094,390.0,3.85,0.45,1.3
4126,520.0,4.28,0.58,1.6
4128,680.0,5.35,0.6,2.7
4129,680.0,4.68,0.6,2.4
4130,620.0,3.92,0.6,1.8
4131,610.0,3.5,0.6,1.6
4152,620.0,9.7,0.69,4.2
4153,500.0,2.3,0.63,0.9
4176,432.0,9.4,0.578,2.34
4177,422.0,11.12,0.557,2.61
4180,455.0,2.76,0.567,1.7
4181,410.0,1.97,0.527,1.01
4232,580.0,11.01,0.67,4.31
4233,610.0,11.91,0.66,4.83
4234,500.0,3.83,0.65,1.24
4237,590.0,9.83,0.61,3.52
4238,670.0,10.34,0.64,4.43
4239,728.0,14.89,0.7,7.58
4240,915.0,16.04,0.71,7.43
4241,939.0,10.17,0.75,5.31
4243,1450.0,4.77,0.56,3.9
4245,960.0,6.16,0.53,3.1
4246,540.0,1.61,0.68,0.59
4247,650.0,4.42,0.7,2.0
4248,500.0,0.91,0.65,0.3
4249,602.0,2.0,0.72,0.87
4250,725.0,8.02,0.8,9.08
4252,749.0,7.87,0.79,9.1
4276,618.0,2.6,0.6,1.12
4310,511.0,2.23,0.52,0.61
4312,569.0,5.9,0.71,2.4
4313,532.0,4.8,0.74,1.9
4314,673.0,10.7,0.67,4.8
4316,627.0,1.49,0.782,0.73
4317,671.0,1.93,0.761,0.99
4318,760.0,12.25,0.72,6.7
4319,770.0,10.67,0.74,6.07
4320,700.0,14.22,0.6,6.03
4321,800.0,13.09,0.7,7.4
4322,780.0,14.38,0.64,7.17
4323,642.0,12.33,0.64,5.08
4324,733.0,14.7,0.71,7.7
4325,722.0,11.5,0.75,6.2
4326,610.0,10.28,0.7,4.41
4328,620.0,8.01,0.7,3.43
4330,690.0,11.46,0.72,5.69
4332,777.0,14.87,0.63,7.33
4333,816.0,12.61,0.63,6.44
4334,722.0,4.5,0.73,2.4
4335,724.0,6.7,0.74,3.6
4336,760.0,6.22,0.69,3.3
4337,541.0,6.7,0.7,2.5
4338,779.0,10.8,0.75,6.3
4339,610.0,12.7,0.72,5.6
4340,719.0,10.5,0.76,5.8
4341,642.0,11.26,0.68,4.91
4342,642.0,11.45,0.72,5.26
4343,656.0,10.01,0.71,4.67
4344,723.0,14.43,0.68,7.09
4345,735.0,16.45,0.68,8.08
4346,735.0,15.06,0.68,7.47
4349,670.0,14.86,0.62,6.18
4350,640.0,5.73,0.66,2.43
4351,704.0,14.2,0.7141,7.14
4352,723.0,11.78,0.7584,6.46
4353,784.0,9.99,0.782,6.12
4357,733.0,13.7,0.649,6.52
4358,742.0,14.6,0.642,6.95
4359,763.0,15.8,0.634,7.64
4360,710.0,15.6,0.667,7.39
4362,579.0,10.6,0.58,3.54
4363,580.0,10.7,0.58,3.6
4364,558.0,8.56,0.61,2.9
4365,680.0,13.5,0.67,6.15
4366,725.0,14.0,0.68,6.9
4370,640.0,13.0,0.72,5.99
4371,753.0,14.2,0.71,7.59
4372,650.0,10.5,0.65,4.43
4373,657.0,12.46,0.734,6.0
4374,637.0,11.199,0.73,5.209
4375,633.0,9.96,0.711,4.483
4376,654.0,10.08,0.724,4.763
4377,681.0,10.554,0.724,5.194
4382,650.0,9.15,0.67,3.97
4383,670.0,9.44,0.69,4.34
4384,620.0,9.56,0.68,4.03
4385,630.0,9.14,0.68,3.87
4386,660.0,6.77,0.67,2.96
4387,650.0,6.28,0.68,2.79
4388,650.0,7.87,0.67,3.41
4389,650.0,7.63,0.69,3.43
4390,660.0,7.83,0.67,3.46
4391,660.0,7.83,0.68,3.53
4392,680.0,8.64,0.71,4.15
4393,600.0,4.42,0.74,2.0
4394,600.0,2.98,0.55,0.99
4395,590.0,3.36,0.69,1.37
4396,730.0,13.14,0.66,6.36
4398,660.0,6.51,0.7472,3.2
4399,600.0,2.52,0.7407,1.12
4400,600.0,3.51,0.7662,1.61
4402,560.0,3.76,0.74,1.55
4403,590.0,6.95,0.731,2.98
4404,610.0,6.97,0.738,3.12
4405,333.0,13.0,0.582,2.51
4417,620.0,8.25,0.68,3.44
4418,660.0,10.09,0.66,4.44
4419,740.0,14.56,0.68,7.39
4422,651.0,9.93,0.7,4.52
4423,667.0,12.85,0.71,6.09
4424,659.0,12.46,0.69,5.65
4425,641.0,12.37,0.66,5.21
