,VOC,JSC,FF,PCE
1004,680.0,12.59,0.71,6.04
1005,690.0,13.54,0.71,6.67
1006,680.0,13.12,0.71,6.33
1008,583.0,8.48,0.64,3.17
1010,542.0,7.22,0.59,2.32
1017,722.0,13.69,0.68,6.71
1018,410.0,10.01,0.64,2.6
1019,329.0,9.48,0.64,2.0
1020,520.0,4.16,0.7,1.51
1021,600.0,5.2,0.64,2.03
1023,560.0,7.0,0.62,2.4
1024,580.0,12.9,0.67,5.01
1025,560.0,11.71,0.63,4.13
1026,453.0,5.62,0.7,1.79
1027,512.0,6.88,0.72,2.54
1028,549.0,10.9,0.68,4.06
1029,605.0,2.57,0.76,1.18
1030,583.0,6.49,0.68,2.58
1031,695.0,9.61,0.7,4.65
1032,655.0,7.08,0.67,3.12
1034,590.0,3.453,0.6519,1.56
1035,581.0,1.253,0.6345,0.54
1036,620.0,7.547,0.6304,3.47
1037,347.0,0.99,0.52,0.18
1038,308.0,1.18,0.58,0.21
1039,240.0,1.41,0.61,0.2
1040,676.0,8.9,0.68,4.1
1041,610.0,5.78,0.68,2.42
1042,570.0,9.25,0.66,3.44
1043,600.0,4.16,0.68,1.67
1044,580.0,7.13,0.67,2.75
1045,570.0,3.76,0.65,1.39
1046,630.0,7.88,0.66,3.27
1047,582.0,5.89,0.72,2.47
1048,617.0,8.33,0.7,3.6
1049,566.0,1.06,0.57,0.34
1050,601.0,6.93,0.64,2.67
1051,645.0,1.7,0.767,8.32
1052,580.0,10.89,0.6,3.75
1053,580.0,8.9,0.65,3.3
1054,550.0,6.3,0.65,2.3
1055,610.0,10.3,0.58,3.5
1056,580.0,8.0,0.6,2.8
1057,640.0,9.7,0.65,4.0
1058,570.0,3.4,0.7,1.4
1059,524.0,11.4,0.63,3.75
1060,543.0,15.5,0.67,5.65
1061,675.0,15.29,0.723,7.46
1062,698.0,17.14,0.694,8.3
1063,639.0,14.6,0.717,6.69
1064,643.0,15.59,0.699,7.01
1067,692.0,14.27,0.59,5.85
1069,580.0,4.0,0.69,1.6
1070,520.0,2.2,0.53,0.6
1071,590.0,8.2,0.55,2.7
1072,570.0,7.8,0.65,2.9
1073,570.0,6.6,0.69,2.6
1074,540.0,6.3,0.69,2.4
1075,590.0,10.5,0.67,4.2
1076,660.0,11.9,0.64,4.9
1077,740.0,8.9,0.63,4.2
1078,610.0,7.3,0.72,3.1
